province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Sa Kaeo,55,2013,46,549640,36.98187087,23117.92485,22920.92485,17.14691112,18732.98825,220.0565208,352.2309035,25.13969473
Sakon Nakhon,56,2013,53,1131749,76.14837961,17272.64573,17075.64573,22.2654175,12891.64285,196.2184975,273.997946,24.710933
Samut Prakan,57,2013,44,1232457,82.9243971,26548.85433,26351.85433,1.187524666,23519.21536,455.3389089,1379.27259,97.00329023
Samut Sakhon,58,2013,21,514135,34.59295935,24554.47075,24357.47075,3.824255049,19943.71109,214.7401664,464.637926,45.83884718
Samut Songkhram,59,2013,12,194079,13.05837369,16686.9234,16489.9234,4.454448943,17424.1611,74.65423968,139.237321,16.08539236
Saraburi,60,2013,25,627452,42.21735834,30056.55434,29859.55434,5.768134439,21861.36967,288.1834203,838.5263534,38.75314939
Satun,61,2013,8,307836,20.71237756,23448.54052,23251.54052,7.384702232,20281.30619,129.0467979,229.0327164,35.78239228
Si Sa Ket,62,2013,101,1460199,98.24774554,16394.09097,16197.09097,21.59923794,13963.41033,357.8592869,403.7424066,35.30435934
Sing Buri,63,2013,19,212953,14.32828824,26996.1922,26799.1922,7.88216183,21327.93812,124.1991003,227.3799898,10.00801408
Songkhla,64,2013,80,1384233,93.13646397,27251.98163,27054.98163,4.225177108,21783.46718,647.6997121,1607.347894,197.6127589
Sukhothai,65,2013,55,602657,40.54905638,21677.50365,21480.50365,12.52528771,14978.25884,165.9180979,198.6327374,25.46067101
Suphan Buri,66,2013,54,847687,57.03560725,16537.35884,16340.35884,17.63973127,13319.98451,306.0991861,643.0740006,50.5137689
Surat Thani,67,2013,84,1027550,69.13747436,36134.51,35937.51,2.857247423,26325.08596,699.8233383,1023.458045,172.7940109
Surin,68,2013,59,1387235,93.33844995,20191.68967,19994.68967,16.06349863,16632.95452,336.774802,308.815549,30.13032149
Tak,69,2013,58,529199,35.6065226,16632.73587,16435.73587,34.78392384,12942.69383,180.7641949,221.7039162,33.90459068
Trang,70,2013,43,633980,42.65658702,30766.98019,30569.98019,10.37647544,20008.94568,307.2858341,384.7410919,106.5009624
Trat,71,2013,23,223433,15.03342252,25123.17712,24926.17712,15.99976733,17274.3277,153.0477405,165.9248421,17.12609276
Ubon Ratchathani,72,2013,87,1831721,123.2451595,21694.86279,21497.86279,12.66065544,14713.84778,400.8978912,612.9675845,48.16573262
Udon Thani,73,2013,75,1560631,105.0051927,23848.90333,23651.90333,9.136272965,20572.80004,308.1040328,490.920364,51.92721012
Uthai Thani,74,2013,31,329242,22.1526547,19781.22203,19584.22203,13.63235751,14272.62037,123.000027,125.6959315,16.4583027
Uttaradit,75,2013,33,461144,31.02752321,19618.2349,19421.2349,15.92207337,13956.82239,139.7204754,199.0949705,18.70623267
Yala,76,2013,11,503476,33.87578127,20059.48904,19862.48904,20.76098933,13185.23322,288.8869121,579.2475569,144.0190993
Yasothon,77,2013,34,540326,36.3551895,17021.5823,16824.5823,21.22289845,13516.40081,107.406346,134.8123598,12.46656275
Amnat Charoen,1,2014,17,375039,25.23405114,19552.88969,19355.88969,17.63027909,16324.94682,75.75596914,83.34935396,7.921743317
Ang Thong,2,2014,14,283650,19.08505144,25116.77166,24919.77166,13.68560979,19290.57007,152.0989117,295.1466364,18.4477154
Bangkok Metropolis,3,2014,97,5689268,382.7956017,47245.43523,47048.43523,2.445611736,33972.45727,3577.877322,9374.425785,507.8116398
Bueng Kan,4,2014,25,417401,28.08432771,22114.29269,21917.29269,4.93378507,21143.94604,81.36944044,113.3470605,16.31737801
Buri Ram,5,2014,89,1576343,106.0623558,17622.94516,17425.94516,27.26006719,14756.03125,361.6865108,340.0431093,31.97121666
Chachoengsao,6,2014,56,692852,46.61771922,29669.26378,29472.26378,3.978441861,23227.01485,356.9073239,741.0255987,36.35388839
Chai Nat,7,2014,23,332526,22.37361471,25657.87349,25460.87349,18.68322266,17099.05893,126.3803411,163.7434764,14.49207065
Chaiyaphum,8,2014,57,1136386,76.46037462,21439.14439,21242.14439,10.90035491,16277.37465,249.3936441,216.7817644,32.17453877
Chanthaburi,9,2014,71,525805,35.37816136,32061.20662,31864.20662,8.997262542,20978.86373,318.9736609,469.7984917,25.61945683
Chiang Mai,10,2014,220,1672586,112.5379511,15209.02726,15012.02726,10.30323526,12656.55103,465.2047424,1656.723432,90.56313335
Chiang Rai,11,2014,143,1206179,81.15631326,13818.81298,13621.81298,18.46655156,11547.81908,283.8984683,398.310574,52.47119184
Chon Buri,12,2014,84,1405889,94.59356206,27432.73901,27235.73901,1.053819462,24928.70775,688.2059276,1873.254944,131.2025234
Chumphon,13,2014,42,499434,33.60382013,28803.89868,28606.89868,4.392269955,23905.18926,284.3750499,317.6136446,52.25304342
Kalasin,14,2014,45,984469,66.23882074,15282.39709,15085.39709,31.52149454,12353.74283,196.9004037,397.533064,32.14251264
Kamphaeng Phet,15,2014,68,729076,49.05500779,20856.39512,20659.39512,7.655800661,17060.61538,202.3855382,254.8958015,30.09718534
Kanchanaburi,16,2014,72,845540,56.89114892,18686.31279,18489.31279,17.34743174,16648.04378,330.2146367,614.8922035,53.05587529
Khon Kaen,17,2014,70,1785852,120.1589187,19925.56929,19728.56929,7.738908373,15468.13579,393.2595892,792.7207627,64.90952929
Krabi,18,2014,22,453850,30.53675514,30151.2414,29954.2414,6.434371933,27269.14231,245.6465593,499.7198649,59.20558669
Lampang,19,2014,83,753937,50.72775048,20081.97734,19884.97734,12.75574775,15478.72094,169.7718631,324.0226216,27.22001859
Lamphun,20,2014,80,405368,27.27470168,23101.61791,22904.61791,6.212075783,20075.87367,97.65620194,270.432989,15.48478109
Loei,21,2014,49,633359,42.61480378,19354.7822,19157.7822,7.534266426,15641.13701,134.3600389,259.593956,25.00701851
Lop Buri,22,2014,45,758188,51.01377394,22741.29287,22544.29287,12.62582052,16553.24417,238.8032253,512.6937334,35.4626975
Mae Hong Son,23,2014,29,247364,16.64359127,12511.54421,12314.54421,48.26610613,9934.600896,67.17683933,79.95694775,8.033729552
Maha Sarakham,24,2014,40,958116,64.46569061,20243.31354,20046.31354,13.93386321,14699.08889,207.3695852,352.1903746,19.64519811
Mukdahan,25,2014,14,345159,23.22361103,20579.80277,20382.80277,19.10509047,15575.97246,92.97280924,123.0709907,14.8186934
Nakhon Nayok,26,2014,15,256692,17.27121461,23045.11331,22848.11331,9.756633951,17657.7886,100.070047,222.3457573,13.75026305
Nakhon Pathom,27,2014,67,886628,59.65570592,35378.32264,35181.32264,2.679128324,24346.22771,416.2310854,886.1337363,75.53702513
Nakhon Phanom,28,2014,27,712100,47.91279791,15344.79916,15147.79916,26.66462466,12712.38475,121.6267979,185.878768,18.66835278
Nakhon Ratchasima,29,2014,187,2615341,175.9700952,24573.06873,24376.06873,14.56809596,17416.03199,626.742114,744.8087341,63.73037687
Nakhon Sawan,30,2014,81,1072949,72.19209185,22851.38202,22654.38202,10.37559834,15930.76924,419.8135196,697.4763016,51.50988803
Nakhon Si Thammarat,31,2014,132,1544935,103.9491061,26468.72895,26271.72895,11.26401725,20220.50338,662.5090921,858.0804702,154.8981094
Nan,32,2014,54,478088,32.16758001,17841.53521,17644.53521,20.85379106,14018.55423,94.79804135,120.2524641,14.48309619
Narathiwat,33,2014,13,770472,51.84028821,18763.41805,18566.41805,33.19546427,13082.35753,351.0786517,712.4880601,169.730114
Nong Bua Lam Phu,34,2014,27,508001,34.18024049,19819.83372,19622.83372,17.53257985,16842.80686,113.898479,151.5210843,13.92350835
Nong Khai,35,2014,18,516102,34.7253066,19948.32587,19751.32587,6.010585839,17824.46109,93.09551695,137.5793226,12.77053972
Nonthaburi,36,2014,35,1165070,78.3903433,34854.79576,34657.79576,1.155907155,30072.72686,312.5122041,1138.41211,69.21245662
Pathum Thani,37,2014,26,1063608,71.56359382,36424.39119,36227.39119,1.041798199,29864.39881,481.0655471,1371.928365,84.50980902
Pattani,38,2014,8,682512,45.92200467,18483.35176,18286.35176,37.06709911,15312.44091,332.0121176,545.723076,189.3247385
Phangnga,39,2014,24,260395,17.52036654,27743.23656,27546.23656,4.802408491,20323.43961,139.795333,175.947367,22.23364531
Phatthalung,40,2014,45,519220,34.9350975,23520.85067,23323.85067,15.37128428,17595.07563,252.119594,392.8768407,87.05094882
Phayao,41,2014,42,485599,32.67294868,16837.74367,16640.74367,14.0118763,12447.70421,109.9821399,130.4660835,15.74681454
Phetchabun,42,2014,77,995102,66.95424944,20495.61022,20298.61022,9.066431448,15237.8767,240.3516548,256.1256248,38.38136102
Phetchaburi,43,2014,43,472639,31.80095056,24444.13478,24247.13478,5.963782459,20491.86352,288.8040666,343.2477557,31.20299687
Phichit,44,2014,21,548199,36.8849149,21779.24499,21582.24499,3.127246137,16864.47135,129.1106226,209.8403122,13.54119666
Phitsanulok,45,2014,63,857682,57.70810889,22029.66109,21832.66109,7.929127498,18489.22518,314.5614102,555.4227883,38.32987896
Phra Nakhon Si Ayutthaya,46,2014,46,800785,53.8798622,27358.29578,27161.29578,4.127556349,21599.91187,359.7758253,1115.809762,57.49408602
Phrae,47,2014,61,455079,30.61944693,20859.47634,20662.47634,13.60679226,15689.79397,98.74515575,136.1897761,12.54758994
Phuket,48,2014,22,373943,25.16030809,31308.03397,31111.03397,1.903529042,27179.46799,242.9749265,619.6046562,44.63054
Prachin Buri,49,2014,31,477740,32.14416525,23416.27663,23219.27663,7.621611025,20280.9999,218.3496583,513.9469533,32.37208892
Prachuap Khiri Khan,50,2014,36,522689,35.16850502,24777.3938,24580.3938,7.650834253,22935.94991,237.643052,417.6124513,40.26818522
Ranong,51,2014,10,175932,11.83737447,25953.80966,25756.80966,15.41048342,19419.53704,88.14782282,119.9435201,15.30447464
Ratchaburi,52,2014,36,851690,57.30494432,21762.73008,21565.73008,14.79408795,16429.00339,407.5163289,632.5092382,58.33404839
Rayong,53,2014,58,667807,44.93259631,29702.8112,29505.8112,2.433507057,23194.63739,390.6203189,1000.215568,46.41190456
Roi Et,54,2014,51,1308638,88.05014469,20373.46064,20176.46064,8.281785179,17170.66328,299.7701482,383.1733027,27.96702815
Sa Kaeo,55,2014,53,551562,37.11119034,25467.36164,25270.36164,17.41636028,19933.21078,234.450664,350.864492,23.44231486
Sakon Nakhon,56,2014,42,1136466,76.46575732,18288.11189,18091.11189,19.36730699,13568.19544,182.5500652,258.363187,21.78455804
Samut Prakan,57,2014,52,1251570,84.21039247,26883.03841,26686.03841,1.041800093,23562.7862,439.8036598,1286.7209,85.86902174
Samut Sakhon,58,2014,36,525672,35.36921262,26774.80729,26577.80729,3.553794617,21419.77002,210.8826278,441.9582262,44.37011253
Samut Songkhram,59,2014,12,194153,13.06335269,17516.57616,17319.57616,4.462262989,18375.95554,74.28729803,138.5885862,15.27912248
Saraburi,60,2014,41,631339,42.47889049,30549.62309,30352.62309,5.279013908,22728.00074,278.5087935,790.9173954,37.56639252
Satun,61,2014,10,311233,20.94094064,23945.28139,23748.28139,7.958222668,20301.30826,116.490217,237.209734,32.23530899
Si Sa Ket,62,2014,91,1463620,98.47792344,17642.87595,17445.87595,18.41885678,15488.72834,373.5586145,446.9672636,34.83242286
Sing Buri,63,2014,15,212424,14.2926951,26973.16167,26776.16167,8.39409389,21475.2518,118.1188595,224.4889138,8.986505966
Songkhla,64,2014,77,1395597,93.90107713,27497.30724,27300.30724,4.443429221,22417.025,624.7124106,1457.694915,189.8798207
Sukhothai,65,2014,33,602587,40.54434652,22682.36855,22485.36855,12.35292291,15822.9024,164.3946234,189.9992437,24.33257361
Suphan Buri,66,2014,54,848559,57.09427873,16486.10226,16289.10226,16.27620031,14039.31177,294.5445527,631.6302487,47.61179922
Surat Thani,67,2014,79,1036021,69.70743548,36619.05726,36422.05726,2.921830601,26790.88257,650.9272371,982.8169342,158.5884319
Surin,68,2014,65,1389915,93.51877055,20676.85672,20479.85672,14.93884512,17678.84388,331.4755335,321.9512227,28.43971442
Tak,69,2014,55,535953,36.06095742,18487.88802,18290.88802,32.55328025,14085.81058,175.8014039,216.9856558,33.22151943
Trang,70,2014,53,637394,42.88629394,27640.08672,27443.08672,10.57160482,19143.57008,306.2899881,366.1699568,97.62842652
Trat,71,2014,22,224370,15.09646744,24521.98918,24324.98918,14.84095228,17931.32981,152.7147526,159.8692945,15.43454712
Ubon Ratchathani,72,2014,89,1840596,123.8423033,21377.94102,21180.94102,12.47435863,14387.83767,386.3139584,617.8104416,46.69579785
Udon Thani,73,2014,71,1567132,105.4426047,23995.55791,23798.55791,8.76392409,21595.50586,286.4313636,474.0654626,49.28729018
Uthai Thani,74,2014,16,329858,22.19410152,20180.21124,19983.21124,11.66022158,15242.75161,116.0455541,117.1756235,14.74705391
Uttaradit,75,2014,34,460698,30.99751464,19993.55428,19796.55428,14.57398802,14783.51166,131.1989533,189.662687,17.96561074
Yala,76,2014,9,509024,34.24907182,18507.00224,18310.00224,20.42561912,12876.24411,283.4444744,628.820867,140.1929015
Yasothon,77,2014,30,540297,36.35323827,17759.53059,17562.53059,19.12667725,14264.16978,106.2223135,141.0232896,12.54708423
Amnat Charoen,1,2015,16,375500,25.26506897,20998.52744,20801.52744,17.09720022,17120.3501,70.67662541,77.74925803,7.138326914
Ang Thong,2,2015,17,283205,19.05511014,25636.84529,25439.84529,14.58728742,19284.87917,159.3232133,312.3013123,17.77499325
Bangkok Metropolis,3,2015,121,5648978,380.0847371,46398.48531,46201.48531,2.103118264,34598.95196,3614.25311,9206.045963,512.6761275
Bueng Kan,4,2015,22,419328,28.2139836,23949.04859,23752.04859,5.080306318,23318.00504,76.82982828,116.8546752,15.66814695
Buri Ram,5,2015,75,1581198,106.3890187,17933.42703,17736.42703,25.21408615,15406.30629,359.1576814,363.2463311,33.19221364
Chachoengsao,6,2015,50,696837,46.88584519,30779.99574,30582.99574,3.769907384,24006.2674,368.0186664,680.6755803,30.38304528
Chai Nat,7,2015,31,331816,22.32584321,26045.10515,25848.10515,19.58679466,17209.48758,119.6186109,157.7970778,12.77808586
Chaiyaphum,8,2015,53,1137238,76.51770042,23770.94451,23573.94451,9.068619121,17278.03353,233.3040785,211.9147384,33.93662725
Chanthaburi,9,2015,50,528034,35.52813696,35476.97782,35279.97782,8.202848505,22091.74691,340.8155673,458.3441401,22.53692842
Chiang Mai,10,2015,208,1638981,110.2768789,14444.34488,14247.34488,9.32019861,11886.70143,460.642939,1558.284051,86.29101235
Chiang Rai,11,2015,173,1183878,79.65581711,13454.00516,13257.00516,16.87023314,11415.30515,271.9478186,388.6577228,49.17019252
Chon Buri,12,2015,88,1431104,96.29012321,28531.16495,28334.16495,0.978376602,25650.21589,677.1914326,1702.179965,121.5524483
Chumphon,13,2015,51,501376,33.73448528,29142.30915,28945.30915,4.373587651,24739.13894,272.8882223,306.3328288,47.7146942
Kalasin,14,2015,56,984750,66.25772749,14855.35575,14658.35575,30.51306647,12405.9746,191.5507646,407.8061911,30.90346968
Kamphaeng Phet,15,2015,56,729296,49.06981023,21215.04858,21018.04858,6.644277951,18189.07462,190.8514294,242.6433071,28.55701114
Kanchanaburi,16,2015,72,827932,55.70641567,19664.23309,19467.23309,15.69888565,17025.97671,325.2196978,625.6260928,49.85891545
Khon Kaen,17,2015,112,1792717,120.620822,21397.35774,21200.35774,6.987041714,16698.68347,375.6770009,788.4901096,64.01835059
Krabi,18,2015,39,458768,30.86765689,29633.9024,29436.9024,6.296583398,30695.70837,234.9365198,516.0288093,56.65090302
Lampang,19,2015,69,751371,50.55510024,20604.98106,20407.98106,12.23248979,15675.53401,168.1416026,323.7813154,24.84739993
Lamphun,20,2015,79,404933,27.24543322,24466.01199,24269.01199,5.667386238,21148.87286,90.61193344,237.4997668,15.31687279
Loei,21,2015,62,634675,42.70334927,20177.46183,19980.46183,6.465329428,16017.04068,122.9641518,257.4408986,23.56324417
Lop Buri,22,2015,76,758046,51.00421964,24307.77646,24110.77646,12.13073771,16983.62527,225.5392494,488.8233739,30.76077509
Mae Hong Son,23,2015,35,239299,16.10094738,14367.74462,14170.74462,44.35953541,11336.41934,71.72656863,82.0140916,7.52782325
Maha Sarakham,24,2015,52,962357,64.75104123,18717.76842,18520.76842,12.90749478,14289.19519,206.0706808,356.050482,19.87394883
Mukdahan,25,2015,24,346279,23.29896889,21633.67447,21436.67447,17.83742643,16289.75046,91.96031575,127.595905,14.38079312
Nakhon Nayok,26,2015,10,257611,17.33304842,24836.66592,24639.66592,9.249964366,18706.83174,99.89226949,207.8332574,11.28712063
Nakhon Pathom,27,2015,46,891912,60.01123355,40668.41951,40471.41951,2.349043702,27296.23773,417.4475945,842.9225788,76.23178833
Nakhon Phanom,28,2015,19,713546,48.01009029,15802.88872,15605.88872,24.68316655,13316.71922,124.1609441,201.5024169,17.23206511
Nakhon Ratchasima,29,2015,207,2623008,176.4859601,26521.30847,26324.30847,14.27594607,18640.07571,572.3100897,694.0354892,60.26938683
Nakhon Sawan,30,2015,84,1071467,72.09237725,22932.96994,22735.96994,9.513733553,16888.29717,395.1546618,627.2919018,44.26935928
Nakhon Si Thammarat,31,2015,135,1549163,104.233582,25339.41022,25142.41022,11.4519469,19890.91403,604.9792122,788.7519995,142.9568721
Nan,32,2015,61,478003,32.16186089,18261.03772,18064.03772,19.84126927,14028.36374,88.578377,109.872062,14.89438548
Narathiwat,33,2015,8,778319,52.36826423,19584.23502,19387.23502,32.58204728,13000.5281,319.6409145,699.287449,152.0280534
Nong Bua Lam Phu,34,2015,25,509283,34.26649833,21349.93139,21152.93139,16.47902647,17823.27497,111.4136993,156.3358215,14.19159494
Nong Khai,35,2015,25,516374,34.74360779,21099.49839,20902.49839,5.352236697,19011.85232,85.45776365,122.1153749,11.82967976
Nonthaburi,36,2015,52,1180178,79.40686703,35366.22268,35169.22268,1.062742686,30758.38694,319.2202367,1060.625423,61.52005682
Pathum Thani,37,2015,36,1081026,72.73554315,42409.67999,42212.67999,0.918941184,32138.2518,456.9748157,1231.168417,82.72437201
Pattani,38,2015,10,689414,46.3863975,18820.13541,18623.13541,36.46103718,15660.31443,308.7505778,553.1069502,172.2925984
Phangnga,39,2015,22,261267,17.57903802,28908.11411,28711.11411,4.668309968,20854.33993,141.6995742,191.5619133,21.53879847
Phatthalung,40,2015,38,521420,35.08312187,22623.7719,22426.7719,16.34066529,17395.8557,254.1044771,431.4069778,85.34365973
Phayao,41,2015,42,482574,32.46941516,17703.26961,17506.26961,13.25900445,12800.45568,108.4858597,128.739379,15.74756207
Phetchabun,42,2015,87,995383,66.97315619,22058.05161,21861.05161,7.880551411,16474.0912,228.2954745,248.7566051,34.93957217
Phetchaburi,43,2015,36,474676,31.93800767,26225.46011,26028.46011,5.717436992,21450.72512,299.0366438,352.5165056,28.76449596
Phichit,44,2015,17,546486,36.76965774,22831.41781,22634.41781,2.843013106,17640.05232,120.0373725,192.0596031,11.50496638
Phitsanulok,45,2015,78,860559,57.90168439,22418.38835,22221.38835,7.288925447,19138.93126,290.4009564,481.7123344,33.55343124
Phra Nakhon Si Ayutthaya,46,2015,33,805124,54.17180664,29001.88405,28804.88405,4.03274535,22100.21201,362.7232431,1155.159773,55.61184551
Phrae,47,2015,47,452958,30.47673798,21834.20688,21637.20688,12.96936719,16343.30578,92.21090226,123.2280609,11.21907217
Phuket,48,2015,31,378353,25.45702967,32733.872,32536.872,1.712200324,28560.28611,243.5699202,625.2479861,47.89100586
Prachin Buri,49,2015,40,480455,32.32684078,23158.62946,22961.62946,6.884175576,20025.5814,220.6484152,489.9744196,29.55229655
Prachuap Khiri Khan,50,2015,34,524620,35.29843005,26373.10022,26176.10022,7.140217186,24162.49097,229.7367644,410.3459987,36.85416186
Ranong,51,2015,5,175719,11.82304302,24939.96893,24742.96893,16.01267268,18347.63647,84.93586014,115.1797248,14.62462697
Ratchaburi,52,2015,69,848773,57.10867746,21939.41594,21742.41594,13.27055762,16716.29714,414.3144354,664.5948501,53.05121185
Rayong,53,2015,77,679397,45.71241562,31999.38486,31802.38486,2.299711042,24728.27937,425.9756093,965.9661305,45.41510508
Roi Et,54,2015,55,1307826,87.99551024,20327.3326,20130.3326,7.599381277,17749.53426,281.7312527,390.3433076,27.44566178
Sa Kaeo,55,2015,47,553126,37.21642221,28084.88296,27887.88296,17.71361744,21181.78393,249.9484966,349.6228819,21.92008676
Sakon Nakhon,56,2015,63,1140272,76.72183949,19362.65672,19165.65672,16.88143173,14288.63021,169.9109634,243.7160099,19.25567654
Samut Prakan,57,2015,39,1263904,85.04027093,27265.74782,27068.74782,0.918941913,23676.56702,424.9806925,1201.035571,76.08092099
Samut Sakhon,58,2015,41,527726,35.50741355,29188.36391,28991.36391,3.318704138,22920.22235,207.1825043,420.5118829,43.0275142
Samut Songkhram,59,2015,10,193614,13.02708672,18386.63839,18189.63839,4.487082709,19309.38971,73.99802602,138.036933,14.56494013
Saraburi,60,2015,33,632558,42.56090945,31097.46641,30900.46641,4.852215104,23632.03296,269.2821922,746.3289957,36.49448602
Satun,61,2015,10,314099,21.13377603,24479.42905,24282.42905,8.593463272,20378.81533,105.2192016,245.7855932,29.10036273
Si Sa Ket,62,2015,104,1466496,98.67143166,18988.89457,18791.89457,15.74211581,17216.47692,390.1358981,495.0900586,34.44685448
Sing Buri,63,2015,14,211667,14.24176126,26968.40709,26771.40709,8.957206812,21729.58318,112.4175349,221.7542928,8.103677756
Songkhla,64,2015,76,1402158,94.34252618,27742.35289,27545.35289,4.688494609,23109.33347,602.5589325,1322.34985,182.5417438
Sukhothai,65,2015,50,601791,40.49078861,23766.1398,23569.1398,12.20726662,16759.77939,162.9848509,181.8373979,23.31973317
Suphan Buri,66,2015,83,848401,57.08364789,16443.12697,16246.12697,15.04876526,14765.86422,283.5374683,620.6121249,44.95250764
Surat Thani,67,2015,75,1041388,70.06854766,37127.94701,36930.94701,3.001209976,27303.72303,605.5678887,943.9629217,145.6306493
Surin,68,2015,72,1392834,93.71517198,21188.75373,20991.75373,13.9225002,18844.53563,326.3922212,335.8152843,26.91032737
Tak,69,2015,55,531549,35.76463954,20559.35663,20362.35663,30.49837686,15335.88381,171.0760871,212.4881065,32.62909055
Trang,70,2015,38,639221,43.00922145,24866.65109,24669.65109,10.79180663,18432.38277,305.3875422,348.5851039,89.56801287
Trat,71,2015,21,221824,14.92516288,23897.05332,23700.05332,13.79593911,18602.79235,152.4613382,154.1276829,13.95683057
Ubon Ratchathani,72,2015,91,1847319,124.2946523,21075.13868,20878.13868,12.31547927,14020.28107,372.3798218,622.8987067,45.35336031
Udon Thani,73,2015,80,1570352,105.6592586,24171.52256,23974.52256,8.430646471,22684.35031,266.3504286,457.9619518,46.85901135
Uthai Thani,74,2015,21,330311,22.22458109,20593.81152,20396.81152,10.00454336,16247.59714,109.5605384,109.3186094,13.25910801
Uttaradit,75,2015,35,459582,30.92242591,20396.24981,20199.24981,13.37057497,15641.98142,123.2711342,180.7530915,17.31223705
Yala,76,2015,6,514348,34.6072908,17098.46595,16901.46595,20.12209422,12589.87397,278.1801218,682.4250049,136.5615783
Yasothon,77,2015,25,540071,36.33803213,18508.56395,18311.56395,17.27093795,14982.82755,105.1371617,147.6285537,12.68059389
Amnat Charoen,1,2016,12,375987,25.29783619,22534.49646,22337.49646,16.61386135,17978.87117,65.97074397,72.55767018,6.4537097
Ang Thong,2,2016,19,282448,19.0041763,26275.51928,26078.51928,15.58267781,19351.40495,166.9245777,330.4709789,17.1578952
Bangkok Metropolis,3,2016,204,5598873,376.7134821,45622.95967,45425.95967,1.81756647,35359.26492,3643.53239,9025.140039,517.516591
Bueng Kan,4,2016,30,420571,28.29761737,25935.4398,25738.4398,5.254096945,25667.87122,72.57248972,120.5271436,15.07449308
Buri Ram,5,2016,101,1584745,106.6276744,18221.66785,18024.66785,23.35453118,16049.93394,356.6436191,388.0629392,34.50199458
Chachoengsao,6,2016,58,699802,47.08534167,32124.34224,31927.34224,3.588732093,24924.54922,379.5133684,625.4336121,25.41642419
Chai Nat,7,2016,21,330732,22.25290757,26636.86823,26439.86823,20.57103074,17321.5882,113.2464903,152.0930399,11.29076989
Chaiyaphum,8,2016,56,1137376,76.52698559,26344.2211,26147.2211,7.562975665,18390.65676,218.2599186,207.2027965,35.84071708
Chanthaburi,9,2016,84,529331,35.61540406,39199.70176,39002.70176,7.501891333,23196.95813,364.1964372,447.2236263,19.85058042
Chiang Mai,10,2016,224,1602699,107.8356878,13698.78368,13501.78368,8.454925869,11175.75446,456.1184881,1465.501115,82.25523374
Chiang Rai,11,2016,162,1162097,78.19030854,13091.90318,12894.90318,15.44116081,11265.37808,260.5147344,379.2293672,46.10980138
Chon Buri,12,2016,90,1454059,97.83462297,29736.44952,29539.44952,0.912661772,26490.20112,666.3585898,1546.214505,112.6436167
Chumphon,13,2016,23,502866,33.83473815,29462.6327,29265.6327,4.374476073,25613.77075,261.8692525,295.515304,43.60027671
Kalasin,14,2016,62,984579,66.24622196,14416.93927,14219.93927,29.57500095,12447.24338,186.3689263,418.4212766,29.74496423
Kamphaeng Phet,15,2016,76,728718,49.03092019,21616.55361,21419.55361,5.785083611,19439.2798,180.0030009,230.9717084,27.12702052
Kanchanaburi,16,2016,61,808669,54.41032773,20716.79572,20519.79572,14.23482556,17465.34003,320.3271308,636.4842897,46.8871309
Khon Kaen,17,2016,78,1797236,120.9248775,22971.68075,22774.68075,6.329532293,18024.18858,358.8686797,784.1977185,63.17536882
Krabi,18,2016,33,462532,31.12091313,29033.58367,28836.58367,6.185412619,34904.7992,224.7212973,532.8853637,54.23925779
Lampang,19,2016,101,748013,50.32916122,21138.34302,20941.34302,11.76069034,15894.40144,166.557025,323.4481043,22.7097125
Lamphun,20,2016,51,404096,27.18911668,25933.03595,25736.03595,5.190119468,22305.07102,84.10798931,208.5750732,15.1828989
Loei,21,2016,52,635341,42.74816028,20992.4495,20795.4495,5.565897691,16396.82663,112.5588176,255.2870935,22.23297286
Lop Buri,22,2016,67,756980,50.9324951,26041.7389,25844.7389,11.68512207,17361.82541,213.0418321,466.0885565,26.70776385
Mae Hong Son,23,2016,22,231192,15.55547757,16471.71305,16274.71305,40.80417681,12911.66086,76.6295666,84.16218248,7.076881819
Maha Sarakham,24,2016,31,963557,64.8317818,17306.8413,17109.8413,11.98511534,13873.94836,204.7949811,359.8786268,20.14120134
Mukdahan,25,2016,15,347118,23.35542,22676.49579,22479.49579,16.68537062,16979.09943,90.99205554,132.3246385,13.98598952
Nakhon Nayok,26,2016,21,257757,17.34287186,26825.34501,26628.34501,8.796246438,19836.09015,99.75381783,194.2660526,9.285822167
Nakhon Pathom,27,2016,42,895068,60.22358124,46764.34595,46567.34595,2.069692961,30727.93424,418.7007048,801.8561827,76.97152923
Nakhon Phanom,28,2016,24,714504,48.07454818,16267.50354,16070.50354,22.88186105,13928.84753,126.7863763,218.4736705,15.93426056
Nakhon Ratchasima,29,2016,192,2626690,176.7336991,28621.25931,28424.25931,14.02211791,19956.4599,522.6300283,646.6185902,57.0292884
Nakhon Sawan,30,2016,91,1067431,71.82081981,23049.71342,22852.71342,8.748542166,17898.92845,371.9664183,564.0549385,38.0723343
Nakhon Si Thammarat,31,2016,115,1551148,104.3671404,24258.63972,24061.63972,11.67457133,19577.24612,552.3343713,724.8295741,131.9576337
Nan,32,2016,44,477938,32.15748744,18696.14273,18499.14273,18.91137145,14032.45991,82.79558582,100.4164794,15.35293592
Narathiwat,33,2016,8,785151,52.82794719,20420.00518,20223.00518,32.01941365,12886.08328,291.0476882,686.4046782,136.1976786
Nong Bua Lam Phu,34,2016,22,510013,34.3156155,22934.53819,22737.53819,15.52000501,18839.59302,109.0201335,161.3543088,14.4991011
Nong Khai,35,2016,21,515845,34.70801466,22303.28372,22106.28372,4.784041047,20277.8569,78.47592919,108.417761,10.98402661
