province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Phuket,48,2011,25,353847,23.80817273,27284.19183,27087.19183,2.70167482,23214.50757,241.6982638,603.138531,36.52801642
Prachin Buri,49,2011,35,469652,31.59997383,24325.255,24128.255,10.51908991,21123.50404,212.06271,593.625104,43.11454936
Prachuap Khiri Khan,50,2011,22,512568,34.48752563,20337.58187,20140.58187,9.558718597,19181.06574,263.6685565,440.724294,53.1171268
Ranong,51,2011,9,183849,12.37006036,28941.46382,28744.46382,13.81918437,23164.07422,99.02510318,136.026288,17.9210656
Ratchaburi,52,2011,61,842684,56.69898637,21063.15755,20866.15755,20.71387838,15429.51544,388.433285,545.8469951,78.19517957
Rayong,53,2011,85,637736,42.909305,23623.18121,23426.18121,2.966420452,19106.2545,301.6330211,1111.619464,50.05350441
Roi Et,54,2011,47,1305058,87.80926866,20503.49225,20306.49225,10.88412695,15508.92952,361.8446123,363.1089507,30.04279005
Sa Kaeo,55,2011,43,545596,36.70977516,18930.22528,18733.22528,16.65134816,16540.00894,194.0615527,355.2623677,29.15505086
Sakon Nakhon,56,2011,41,1123351,75.58333021,15421.51088,15224.51088,29.51318221,11640.06287,227.0451666,308.497926,32.08838114
Samut Prakan,57,2011,46,1203223,80.95742233,25605.14725,25408.14725,1.57154901,23138.81554,488.2097027,1583.06919,124.172612
Samut Sakhon,58,2011,29,499098,33.58121277,20705.0799,20508.0799,4.472201311,17414.64912,222.9317691,513.7795717,49.175993
Samut Songkhram,59,2011,5,194086,13.05884468,15157.3419,14960.3419,4.469314237,15740.76284,75.59150928,140.789518,18.02065403
Saraburi,60,2011,36,620454,41.74650627,28795.48834,28598.48834,6.938749596,20159.41628,308.7540753,942.1763362,41.47801412
Satun,61,2011,11,301467,20.283847,22319.37463,22122.37463,6.381200703,20049.26608,158.7034461,213.7621255,44.39579547
Si Sa Ket,62,2011,58,1452203,97.70974423,14157.96222,13960.96222,29.80107125,11353.05024,328.5778481,329.5443884,36.48735061
Sing Buri,63,2011,16,213587,14.37094617,26919.43655,26722.43655,6.973877545,20875.1236,137.5796382,233.4924044,12.58787854
Songkhla,64,2011,76,1367010,91.97763498,26789.85873,26592.85873,3.844285419,20550.7813,696.686781,1955.338656,214.3566054
Sukhothai,65,2011,44,601504,40.47147816,19620.4002,19423.4002,12.9129468,13383.4649,169.2426119,217.3385295,28.10127988
Suphan Buri,66,2011,50,845053,56.85838171,16587.83161,16390.83161,20.77464594,12004.65538,330.8605756,666.6409709,57.14083506
Surat Thani,67,2011,77,1012064,68.09551735,35071.85663,34874.85663,2.757917645,25202.66542,809.1710584,1109.336777,205.4939937
